Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,2M CALL1,146.520000,,0.600000,,151.4,151.4,023,NN,FM,5.00,,,,,,
2,2M CALL2,146.550000,,0.600000,,69.3,69.3,023,NN,FM,5.00,,,,,,
3,W3GA,146.760000,-,0.600000,TSQL,146.2,146.2,023,NN,FM,5.00,,,,,,
4,W3YA,146.850000,-,0.600000,TSQL,146.2,146.2,023,NN,FM,5.00,,,,,,
5,K3CR,145.450000,-,0.600000,TSQL,146.2,146.2,023,NN,FM,5.00,,,,,,
6,K3CR70cm,443.650000,+,5.000000,TSQL,146.2,146.2,023,NN,FM,25.00,,,,,,
7,W3PHB,146.430000,+,1.000000,TSQL,173.8,173.8,023,NN,FM,5.00,S,,,,,
8,N3HAO,53.070000,-,1.000000,,100.0,100.0,023,NN,FM,10.00,,,,,,
9,UP UNICM,122.800000,,0.000000,,100.0,100.0,023,NN,AM,25.00,S,,,,,
10,UP TOWER,128.475000,,0.000000,,100.0,100.0,023,NN,AM,25.00,S,,,,,
11,NS RD 1,160.800000,,0.600000,,131.8,131.8,023,NN,FM,5.00,P,,,,,
12,NS RD 2,161.070000,,0.600000,,131.8,131.8,023,NN,FM,5.00,P,,,,,
13,NS RD 3,160.860000,,0.600000,,131.8,131.8,023,NN,FM,5.00,P,,,,,
14,K3DN,147.090000,+,0.600000,TSQL,131.8,131.8,023,NN,FM,5.00,S,,,,,
15,NBER 1,160.590000,,0.600000,,131.8,131.8,023,NN,FM,5.00,P,,,,,
16,NBER 2,161.040000,,0.600000,,146.2,146.2,023,NN,FM,5.00,P,,,,,
17,RTM 1,151.625000,,0.600000,,131.8,131.8,023,NN,FM,5.00,,,,,,
18,RTM 2,151.895000,,0.600000,,131.8,131.8,023,NN,FM,5.00,,,,,,
19,LVRR,160.725000,,0.600000,,131.8,131.8,023,NN,FM,5.00,S,,,,,
20,NSHR,160.455000,,0.600000,,131.8,131.8,023,NN,FM,5.00,,,,,,
21,BR&W,161.085000,,0.600000,,131.8,131.8,023,NN,FM,5.00,,,,,,
22,W3OK,146.700000,-,0.600000,TSQL,151.4,151.4,023,NN,FM,5.00,S,,,,,
23,NYS&W,160.485000,,0.600000,,151.4,151.4,023,NN,FM,5.00,,,,,,
24,FRS1,462.562500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
25,FRS2,462.587500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
26,FRS3,462.612500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
27,FRS4,462.637500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
28,FRS5,462.662500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
29,FRS6,462.687500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
30,FRS7,462.712500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
31,FRS8,467.562500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
32,FRS9,467.587500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
33,FRS10,467.612500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
34,FRS11,467.637500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
35,FRS12,467.662500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
36,FRS13,467.687500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
37,FRS14,467.712500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
38,GMRS1,462.550000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
39,GMRS2,462.575000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
40,GMRS3,462.600000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
41,GMRS4,462.625000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
42,GMRS5,462.650000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
43,GMRS6,462.675000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
44,GMRS7,462.700000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
45,GMRS8,462.725000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
46,NARCOA 1,151.625000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
47,NARCOA 2,151.505000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
48,NARCOA 3,158.400000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
50,W3EXW,147.090000,+,0.600000,TSQL,88.5,88.5,023,NN,FM,5.00,,,,,,
100,SEA 01,160.650000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
101,SEA 02,160.700000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
102,SEA 03,160.750000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
103,SEA 04,160.800000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
104,SEA 05,160.850000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
105,SEA 06,156.300000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
106,SEA 07,160.950000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
107,SEA 08,156.400000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
108,SEA 09,156.450000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
109,SEA 10,156.500000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
110,SEA 11,156.550000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
111,SEA 12,156.600000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
112,SEA 13,156.650000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
113,SEA 14,156.700000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
114,SEA 15,156.750000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
115,SEA 16,156.800000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
116,SEA 17,156.850000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
117,SEA 18,161.500000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
118,SEA 19,161.550000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
119,SEA 20,161.600000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
120,SEA 21,161.650000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
121,SEA 22,161.700000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
122,SEA 23,161.750000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
123,SEA 24,161.800000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
124,SEA 25,161.850000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
125,SEA 26,161.900000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
126,SEA 27,161.950000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
127,SEA 28,162.000000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
128,SEA 60,160.625000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
129,SEA 61,160.675000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
130,SEA 62,160.725000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
131,SEA 63,160.775000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
132,SEA 64,160.825000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
133,SEA 65,160.875000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
134,SEA 66,160.925000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
135,SEA 67,156.375000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
136,SEA 68,156.425000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
137,SEA 69,156.475000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
138,DSC 70,156.525000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
139,SEA 71,156.575000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
140,SEA 72,156.625000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
141,SEA 73,156.675000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
142,SEA 74,156.725000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
143,SEA 77,156.875000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
144,SEA 78,161.525000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
145,SEA 79,161.575000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
146,SEA 80,161.625000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
147,SEA 81,161.675000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
148,SEA 82,161.725000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
149,SEA 83,161.775000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
150,SEA 84,161.825000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
151,SEA 85,161.875000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
152,SEA 86,161.925000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
153,AIS 87,161.975000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
154,AIS 88,162.025000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
155,SEA F1,155.625000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
156,SEA F2,155.775000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
157,SEA F3,155.825000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
158,SEA L1,155.500000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
159,SEA L2,155.525000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
